,price_in_nok
2019-11-29,592.2712426185608
2019-11-30,592.2712426185608
2019-12-01,592.2712426185608
2019-12-02,582.7040168762207
2019-12-03,576.5401643276215
2019-12-04,600.8807544708252
2019-12-05,600.9395955848694
2019-12-06,607.4243063926697
2019-12-07,607.4243063926697
2019-12-08,607.4243063926697
2019-12-09,607.6004200744628
2019-12-10,608.9690756607055
2019-12-11,599.8808553600312
2019-12-12,607.3303604221344
2019-12-13,610.116169052124
2019-12-14,610.116169052124
2019-12-15,610.116169052124
2019-12-16,613.5438815689088
2019-12-17,623.3729322624206
2019-12-18,624.6374194335938
2019-12-19,627.1326922416687
2019-12-20,617.1229495620727
2019-12-21,617.1229495620727
2019-12-22,617.1229495620727
2019-12-23,606.5596297073364
2019-12-24,622.4673278045655
2019-12-25,622.4673278045655
2019-12-26,622.4673278045655
2019-12-27,612.1343904018402
2019-12-28,612.1343904018402
2019-12-29,612.1343904018402
2019-12-30,601.8527794837952
2019-12-31,597.5687689590454
2020-01-01,597.5687689590454
2020-01-02,588.7056962013245
2020-01-03,609.1612636947632
2020-01-04,609.1612636947632
2020-01-05,609.1612636947632
2020-01-06,621.5650024414062
2020-01-07,605.1044842720031
2020-01-08,595.6530848312378
2020-01-09,590.5379877090454
2020-01-10,592.997713098526
2020-01-11,592.997713098526
2020-01-12,592.997713098526
2020-01-13,569.6337348175049
2020-01-14,572.9733681678772
2020-01-15,562.2113708972931
2020-01-16,573.4749429225922
2020-01-17,569.2700175762176
2020-01-18,569.2700175762176
2020-01-19,569.2700175762176
2020-01-20,575.4525946903228
2020-01-21,570.0752951431274
2020-01-22,558.7043206310273
2020-01-23,551.2174888801575
2020-01-24,533.6861596298218
2020-01-25,533.6861596298218
2020-01-26,533.6861596298218
2020-01-27,532.0641833114624
2020-01-28,542.469640045166
2020-01-29,542.8935663986206
2020-01-30,531.8551848220825
2020-01-31,531.6226599884034
2020-02-01,531.6226599884034
2020-02-02,531.6226599884034
2020-02-03,496.6811828613281
2020-02-04,498.83371152877805
2020-02-05,511.95820098876953
2020-02-06,507.95947063446044
2020-02-07,504.6479062175751
2020-02-08,504.6479062175751
2020-02-09,504.6479062175751
2020-02-10,493.2808686923981
2020-02-11,500.44499588012695
2020-02-12,512.4287153053284
2020-02-13,521.7365674209595
2020-02-14,530.9708461475373
2020-02-15,530.9708461475373
2020-02-16,530.9708461475373
2020-02-17,534.5515908813477
2020-02-18,534.1579074382782
2020-02-19,554.954052772522
2020-02-20,554.55502617836
2020-02-21,548.1619533538818
2020-02-22,548.1619533538818
2020-02-23,548.1619533538818
2020-02-24,531.1515486526489
2020-02-25,516.6352889156342
2020-02-26,515.7666442108155
2020-02-27,489.91276046752927
2020-02-28,486.68047035217285
2020-02-29,486.68047035217285
2020-03-01,486.68047035217285
2020-03-02,490.7048498153687
2020-03-03,486.7201003265381
2020-03-04,480.44661596298215
2020-03-05,475.3967408084869
2020-03-06,423.7425453186035
2020-03-07,423.7425453186035
2020-03-08,423.7425453186035
2020-03-09,338.581513967514
2020-03-10,338.41653965950013
2020-03-11,330.2067009925843
2020-03-12,304.41478254318235
2020-03-13,322.8225073814392
2020-03-14,322.8225073814392
2020-03-15,322.8225073814392
2020-03-16,287.35461280822756
2020-03-17,284.45490213394163
2020-03-18,240.20659913063048
2020-03-19,286.32118993759156
2020-03-20,280.5389883041382
2020-03-21,280.5389883041382
2020-03-22,280.5389883041382
2020-03-23,278.5874891281128
2020-03-24,271.7050037384033
2020-03-25,279.2579902267456
2020-03-26,253.39800539016724
2020-03-27,234.6471897506714
2020-03-28,234.6471897506714
2020-03-29,234.6471897506714
2020-03-30,203.7977978038788
2020-03-31,155.77649660110472
2020-04-01,157.3347034263611
